Designator,Mid X,Mid Y,Rotation,Layer
BZ1,170.8924,-63.998,0.0,top
BZ10,126.883,-130.1496,0.0,top
BZ2,170.8924,-80.5359,0.0,top
BZ3,170.8924,-97.0738,0.0,top
BZ4,170.8924,-113.6117,0.0,top
BZ5,170.8924,-130.1496,0.0,top
BZ6,126.883,-63.998,0.0,top
BZ7,126.883,-80.5359,0.0,top
BZ8,126.883,-97.0738,0.0,top
BZ9,126.883,-113.6117,0.0,top
C1,155.3718,-85.9314,0.0,top
C2,155.3718,-94.913467,0.0,top
C3,155.3718,-103.895533,0.0,top
C4,155.3718,-112.8776,0.0,top
IC1,142.094733,-90.551,270.0,top
J1,149.132,-141.6668,0.0,top
R2,142.494,-108.7374,0.0,top
R3,142.4432,-114.9604,0.0,top
RV1,157.1076,-129.5484,0.0,top
RV2,143.261134,-129.5484,0.0,top
U1,155.4226,-68.8086,180.0,top
